year_month,asset_class,mean_abs_rank_change_RF_vs_EW,max_abs_rank_change_RF_vs_EW,mean_abs_rank_change_LF_vs_EW,max_abs_rank_change_LF_vs_EW
2020-01,Crypto,0.4,1.0,1.4,3.0
2020-02,Crypto,0.8,2.0,1.0,2.0
2020-03,Crypto,0.4,2.0,1.4,3.0
2020-04,Crypto,0.4,2.0,1.8,5.0
2020-05,Crypto,0.2,1.0,0.8,3.0
2020-06,Crypto,0.4,1.0,0.6,3.0
2020-07,Crypto,0.0,0.0,0.4,1.0
2020-08,Crypto,0.8,2.0,1.0,2.0
2020-09,Crypto,0.6,2.0,1.0,3.0
2020-10,Crypto,0.4,1.0,1.6,5.0
2020-11,Crypto,0.2,1.0,1.0,4.0
2020-12,Crypto,0.6,2.0,0.4,1.0
2021-01,Crypto,0.4,1.0,0.8,4.0
2021-02,Crypto,0.8,2.0,0.6,2.0
2021-03,Crypto,0.2,1.0,0.8,4.0
2021-04,Crypto,0.2,1.0,0.4,1.0
2021-05,Crypto,0.6,2.0,1.0,3.0
2021-06,Crypto,0.8,2.0,1.2,3.0
2021-07,Crypto,0.2,1.0,1.4,4.0
2021-08,Crypto,0.4,1.0,0.6,2.0
2021-09,Crypto,0.4,1.0,0.6,2.0
2021-10,Crypto,0.4,1.0,0.6,3.0
2021-11,Crypto,0.0,0.0,1.2,3.0
2021-12,Crypto,0.4,2.0,1.0,3.0
2022-01,Crypto,0.6,2.0,0.6,3.0
2022-02,Crypto,0.8,2.0,1.2,3.0
2022-03,Crypto,0.6,2.0,0.8,3.0
2022-04,Crypto,0.6,2.0,0.4,1.0
2022-05,Crypto,0.4,1.0,0.6,2.0
2022-06,Crypto,0.2,1.0,2.0,6.0
2022-07,Crypto,0.6,2.0,2.2,6.0
2022-08,Crypto,0.4,2.0,1.4,3.0
2022-09,Crypto,1.0,3.0,1.6,4.0
2022-10,Crypto,0.4,1.0,1.2,3.0
2022-11,Crypto,1.4,3.0,1.2,3.0
2022-12,Crypto,0.4,2.0,1.2,4.0
2023-01,Crypto,0.6,2.0,0.6,2.0
2023-02,Crypto,0.6,3.0,0.6,2.0
2023-03,Crypto,0.4,1.0,0.6,2.0
2023-04,Crypto,0.6,2.0,0.8,3.0
2023-05,Crypto,0.6,1.0,1.4,3.0
2023-06,Crypto,0.6,2.0,1.2,4.0
2023-07,Crypto,0.2,1.0,1.2,3.0
2023-08,Crypto,0.0,0.0,1.0,3.0
2023-09,Crypto,0.6,2.0,0.8,3.0
2023-10,Crypto,0.4,1.0,1.4,4.0
2023-11,Crypto,0.6,2.0,1.0,3.0
2023-12,Crypto,0.4,1.0,0.6,2.0
2020-01,Equity,,,,
2020-02,Equity,3.4,13.0,7.76,32.0
2020-03,Equity,3.56,17.0,6.08,32.0
2020-04,Equity,2.88,11.0,5.6,30.0
2020-05,Equity,3.16,16.0,5.64,34.0
2020-06,Equity,2.56,12.0,5.88,40.0
2020-07,Equity,2.8,12.0,6.0,36.0
2020-08,Equity,3.44,17.0,6.52,36.0
2020-09,Equity,3.12,14.0,7.2,41.0
2020-10,Equity,3.56,16.0,7.16,35.0
2020-11,Equity,3.16,10.0,8.68,35.0
2020-12,Equity,4.0,18.0,5.84,18.0
2021-01,Equity,4.92,19.0,6.04,25.0
2021-02,Equity,4.68,18.0,8.48,23.0
2021-03,Equity,4.08,13.0,8.76,35.0
2021-04,Equity,4.08,17.0,9.28,32.0
2021-05,Equity,5.0,20.0,8.64,34.0
2021-06,Equity,5.12,20.0,6.88,23.0
2021-07,Equity,3.44,20.0,7.24,23.0
2021-08,Equity,2.88,11.0,8.0,36.0
2021-09,Equity,4.44,23.0,6.32,17.0
2021-10,Equity,4.2,16.0,10.12,38.0
2021-11,Equity,3.0,17.0,8.8,29.0
2021-12,Equity,2.92,9.0,9.2,43.0
2022-01,Equity,3.2,9.0,8.84,39.0
2022-02,Equity,3.2,14.0,9.48,41.0
2022-03,Equity,4.0,17.0,10.2,43.0
2022-04,Equity,2.64,11.0,9.16,43.0
2022-05,Equity,3.0,10.0,9.12,41.0
2022-06,Equity,2.48,12.0,9.44,42.0
2022-07,Equity,2.92,8.0,8.24,40.0
2022-08,Equity,2.56,10.0,9.72,40.0
2022-09,Equity,2.8,14.0,8.64,41.0
2022-10,Equity,3.28,12.0,7.64,37.0
2022-11,Equity,2.6,11.0,7.72,35.0
2022-12,Equity,2.32,7.0,7.64,39.0
2023-01,Equity,2.96,9.0,8.12,41.0
2023-02,Equity,2.8,10.0,6.96,37.0
2023-03,Equity,2.96,17.0,7.96,30.0
2023-04,Equity,3.12,15.0,6.08,18.0
2023-05,Equity,3.04,25.0,7.76,38.0
2023-06,Equity,3.12,15.0,7.84,44.0
2023-07,Equity,2.76,12.0,7.64,35.0
2023-08,Equity,2.84,10.0,6.2,36.0
2023-09,Equity,2.72,11.0,7.36,41.0
2023-10,Equity,3.36,25.0,5.64,30.0
2023-11,Equity,2.68,11.0,6.36,29.0
2023-12,Equity,2.28,11.0,7.68,36.0
