ticker,asset_class,DRLC_gate_pass,mean_PDAIS_EW,mean_PDAIS_RF,mean_PDAIS_LF,std_PDAIS_EW,mean_LQ_raw
ABBV,Equity,True,69.0691626837745,75.34262634061668,56.996458537201526,9.26059888127594,20.288008249551332
ABT,Equity,True,64.5813200496314,71.09583948862402,51.92701448238695,8.265113498443352,20.037439617456567
ADA-USD,Crypto,True,30.57808426552586,34.503437212872484,24.096108156786187,16.814938135535893,19.317666879042985
ADBE,Equity,True,56.467646176860505,57.13885859634449,55.36238860429769,14.524875477059854,20.900242830072287
AEP,Equity,True,59.64428342394544,69.7563122018623,40.21644628214244,7.4270526354695185,19.1388122421961
AMD,Equity,True,49.24794564826535,40.84718816867808,64.93682267181518,15.184032009104111,22.34261251652866
AMGN,Equity,True,65.99585991029316,72.64638578951394,52.983029111128126,8.968434023473925,20.061076109859712
AMT,Equity,True,57.32409773991789,63.882640637611125,44.46826811381471,8.929204440273425,19.715124946638475
BA,Equity,True,53.94318224411196,51.46290944840984,58.3973666431792,10.963028673987441,21.36355126064249
BCH-USD,Crypto,True,48.7719303709375,49.09214269837852,51.20103860624369,13.591550373043663,26.322967326658926
BTC-USD,Crypto,True,94.58572998736315,93.33350244470961,96.75143799241789,8.822447291915145,34.174556810417045
CAT,Equity,True,56.85519054957551,61.18442199689852,48.101712251415385,9.504469363065672,20.118329492738397
CCI,Equity,True,53.56406490059654,61.480705474233275,38.156193885480334,9.664253696024437,19.300429580282575
CMCSA,Equity,True,63.15635613631038,67.80157603809155,54.586794601199145,11.555847219728411,20.40412433997996
COP,Equity,True,43.88314322287545,46.538479811330355,38.3158090178771,9.583735904807213,19.91308006775637
CVX,Equity,True,61.43004683298851,64.32093236847643,56.120428099875674,7.789492821831076,20.668717549408715
D,Equity,True,57.25820174519475,66.79029034469407,39.077082059143144,10.13560739314373,19.164903465478957
DD,Equity,True,48.24272294077414,55.963604430167145,33.136273688255486,10.662551309138093,19.120090088508167
DIS,Equity,True,62.120444024894226,63.72295034913815,59.373483338782215,11.503577951661029,20.960964051344963
DOW,Equity,True,47.19048441776835,54.79443626958634,32.33896879501458,7.23764998974664,19.09114419331472
DUK,Equity,True,62.95084301536993,72.82370117933147,43.559535672846025,6.015465359228804,19.27918068486478
EA,Equity,True,57.21085717351749,65.4949915558718,41.62553069855031,11.31938619127008,19.426074814410622
EOS-USD,Crypto,True,32.581992253980474,36.41693262524565,28.872639401284776,16.529725322731455,20.876490489999764
ETC-USD,Crypto,True,34.067749711026025,35.2237602734392,34.642053079713754,16.831847147195184,22.99760931948083
ETH-USD,Crypto,True,66.91227837276462,64.98427448898089,71.52103079493799,15.127039148679494,30.435552794417493
GE,Equity,True,52.82878928829079,55.834966793567894,46.26325532694573,8.036049915427428,20.17922897144995
GILD,Equity,True,64.89400623470327,71.91890355962386,50.92391387432187,8.015625168020334,19.91561878215775
GS,Equity,True,61.251853591048125,65.46121834823994,52.78870071648894,6.699873232840757,20.332963181809266
INTC,Equity,True,52.99590218380353,52.96983088126033,53.878369548031806,14.62436051643535,20.96213121182743
KO,Equity,True,75.41915289287853,82.74098147400709,61.53274482738115,4.52294750294531,20.363855686784248
LTC-USD,Crypto,True,47.37095396137534,48.25700490017747,48.280939090223626,14.001498313271878,25.4508590893346
MMM,Equity,True,58.63097229789507,66.0600525046912,44.57570660848674,10.543333716847687,19.6508373760539
MRK,Equity,True,70.08986160651766,76.20456684064465,58.45400299857399,10.323415628943993,20.37400547022735
MS,Equity,True,57.328284030959715,61.47360280592794,48.80156942378868,7.443701152185778,20.158953956494084
