year_month,asset_class,spearman_EW_vs_RF,spearman_EW_vs_LF
2020-01,Crypto,0.9757575757575757,0.8303030303030302
2020-02,Crypto,0.9272727272727272,0.8909090909090909
2020-03,Crypto,0.9636363636363635,0.8060606060606059
2020-04,Crypto,0.9636363636363635,0.6484848484848483
2020-05,Crypto,0.9878787878787878,0.9030303030303028
2020-06,Crypto,0.9757575757575757,0.9151515151515152
2020-07,Crypto,0.9999999999999999,0.9757575757575757
2020-08,Crypto,0.9393939393939393,0.8909090909090909
2020-09,Crypto,0.9393939393939393,0.8545454545454544
2020-10,Crypto,0.9757575757575757,0.6848484848484848
2020-11,Crypto,0.9878787878787878,0.8181818181818182
2020-12,Crypto,0.9393939393939393,0.9757575757575757
2021-01,Crypto,0.9757575757575757,0.8666666666666665
2021-02,Crypto,0.9272727272727272,0.9393939393939393
2021-03,Crypto,0.9878787878787878,0.8424242424242423
2021-04,Crypto,0.9878787878787878,0.9757575757575757
2021-05,Crypto,0.9393939393939393,0.8545454545454544
2021-06,Crypto,0.9272727272727272,0.8303030303030302
2021-07,Crypto,0.9878787878787878,0.8060606060606059
2021-08,Crypto,0.9757575757575757,0.9393939393939393
2021-09,Crypto,0.9757575757575757,0.9515151515151514
2021-10,Crypto,0.9757575757575757,0.9151515151515152
2021-11,Crypto,0.9999999999999999,0.8545454545454544
2021-12,Crypto,0.9636363636363635,0.8787878787878788
2022-01,Crypto,0.9515151515151514,0.9272727272727272
2022-02,Crypto,0.9393939393939393,0.8424242424242423
2022-03,Crypto,0.9393939393939393,0.9151515151515152
2022-04,Crypto,0.9393939393939393,0.9757575757575757
2022-05,Crypto,0.9757575757575757,0.9393939393939393
2022-06,Crypto,0.9878787878787878,0.5757575757575757
2022-07,Crypto,0.9515151515151514,0.5151515151515151
2022-08,Crypto,0.9636363636363635,0.8303030303030302
2022-09,Crypto,0.8787878787878788,0.7575757575757575
2022-10,Crypto,0.9757575757575757,0.8545454545454544
2022-11,Crypto,0.7696969696969697,0.8303030303030302
2022-12,Crypto,0.9636363636363635,0.8181818181818182
2023-01,Crypto,0.9393939393939393,0.9515151515151514
2023-02,Crypto,0.9151515151515152,0.9515151515151514
2023-03,Crypto,0.9757575757575757,0.9393939393939393
2023-04,Crypto,0.9515151515151514,0.9030303030303028
2023-05,Crypto,0.9636363636363635,0.8424242424242423
2023-06,Crypto,0.9515151515151514,0.7939393939393938
2023-07,Crypto,0.9878787878787878,0.8181818181818182
2023-08,Crypto,0.9999999999999999,0.8787878787878788
2023-09,Crypto,0.9515151515151514,0.9030303030303028
2023-10,Crypto,0.9757575757575757,0.7696969696969697
2023-11,Crypto,0.9393939393939393,0.8787878787878788
2023-12,Crypto,0.9757575757575757,0.9393939393939393
2020-01,Equity,,
2020-02,Equity,0.944297719087635,0.7192797118847538
2020-03,Equity,0.9393997599039615,0.8445138055222088
2020-04,Equity,0.9587995198079231,0.8554621848739495
2020-05,Equity,0.9498679471788716,0.8461464585834333
2020-06,Equity,0.9686914765906363,0.8168547418967587
2020-07,Equity,0.9620648259303721,0.821656662665066
2020-08,Equity,0.9447779111644657,0.8003361344537814
2020-09,Equity,0.9521728691476591,0.6829771908763506
2020-10,Equity,0.9429531812725089,0.7408883553421368
2020-11,Equity,0.9576470588235294,0.6701080432172869
2020-12,Equity,0.9221128451380551,0.8692917166866746
2021-01,Equity,0.8753421368547419,0.841344537815126
2021-02,Equity,0.8882112845138054,0.7236014405762305
2021-03,Equity,0.9266266506602642,0.652533013205282
2021-04,Equity,0.927202881152461,0.6060504201680672
2021-05,Equity,0.886578631452581,0.6749099639855942
2021-06,Equity,0.8816806722689075,0.8093637454981992
2021-07,Equity,0.9370948379351741,0.8069627851140455
2021-08,Equity,0.9634093637454981,0.7050660264105642
2021-09,Equity,0.8981032412965185,0.849891956782713
2021-10,Equity,0.920672268907563,0.5800240096038415
2021-11,Equity,0.9537094837935175,0.6720288115246097
2021-12,Equity,0.9689795918367347,0.6360144057623048
2022-01,Equity,0.95937575030012,0.6389915966386555
2022-02,Equity,0.961392557022809,0.5634093637454982
2022-03,Equity,0.928547418967587,0.5471788715486194
2022-04,Equity,0.9684993997599038,0.6135414165666266
2022-05,Equity,0.9608163265306122,0.6032653061224489
2022-06,Equity,0.9743577430972389,0.5936614645858344
2022-07,Equity,0.9682112845138054,0.6457142857142857
2022-08,Equity,0.9708043217286914,0.5872268907563025
2022-09,Equity,0.963985594237695,0.6233373349339735
2022-10,Equity,0.9490036014405762,0.7126530612244898
2022-11,Equity,0.9707082833133253,0.7115966386554621
2022-12,Equity,0.9781992797118847,0.7225450180072028
2023-01,Equity,0.966578631452581,0.6884513805522209
2023-02,Equity,0.969267707082833,0.7463625450180071
2023-03,Equity,0.9490996398559424,0.7583673469387756
2023-04,Equity,0.9522689075630252,0.8478751500600239
2023-05,Equity,0.9393037214885953,0.7395438175270108
2023-06,Equity,0.9520768307322929,0.6656902761104441
2023-07,Equity,0.9660024009603841,0.7259063625450181
2023-08,Equity,0.9690756302521008,0.7976470588235295
2023-09,Equity,0.9670588235294117,0.724657863145258
2023-10,Equity,0.92921968787515,0.8431692677070828
2023-11,Equity,0.9668667466986793,0.8165666266506603
2023-12,Equity,0.9728211284513805,0.7146698679471789
